Name,Token ID
aa-aa,7.74794E+76
ae-ae,1.13545E+75
ai-ai,1.14434E+77
ao-ao,2.07103E+76
au-au,3.26963E+76
ba-ba,1.77842E+76
be-be,4.8139E+76
bi-bi,7.7175E+76
bo-bo,3.77799E+76
bu-bu,1.04079E+77
ca-ca,8.92768E+76
ce-ce,7.5332E+76
ci-ci,8.76753E+76
co-co,1.05275E+77
cu-cu,4.38074E+76
da-da,1.01258E+77
de-de,8.81237E+76
di-di,1.0207E+76
do-do,1.06678E+77
du-du,4.27164E+76
ea-ea,5.21511E+76
ee-ee,4.0271E+76
ei-ei,4.18686E+75
eo-eo,3.3088E+76
eu-eu,8.26981E+76
fa-fa,5.87373E+76
fe-fe,8.60299E+76
fi-fi,2.33375E+76
fo-fo,8.1345E+76
fu-fu,7.06194E+76
ga-ga,3.85939E+76
ge-ge,7.20627E+76
gi-gi,5.6253E+76
go-go,4.15272E+76
gu-gu,1.81856E+76
ha-ha,6.3912E+76
he-he,9.53531E+76
hi-hi,1.09642E+77
ho-ho,2.11753E+76
hu-hu,2.9635E+76
ia-ia,1.6064E+76
ie-ie,7.06253E+76
ii-ii,6.5031E+76
io-io,5.85086E+76
iu-iu,8.87997E+76
ja-ja,1.05254E+75
je-je,8.88159E+76
ji-ji,8.14105E+76
jo-jo,5.3012E+76
ju-ju,1.08023E+77
ka-ka,5.53094E+76
ke-ke,8.03398E+76
ki-ki,5.58266E+76
ko-ko,2.41703E+76
ku-ku,1.04932E+77
la-la,7.37915E+76
le-le,2.65932E+76
li-li,2.55142E+76
lo-lo,4.41381E+76
lu-lu,1.02601E+77
ma-ma,8.12615E+76
me-me,2.07753E+76
mi-mi,9.21223E+76
mo-mo,8.27816E+76
mu-mu,9.67147E+76
na-na,6.87623E+76
ne-ne,7.82305E+76
ni-ni,3.95439E+76
no-no,1.11504E+77
nu-nu,6.80596E+76
oa-oa,1.33893E+76
oe-oe,7.07701E+76
oi-oi,5.73845E+74
oo-oo,7.22683E+76
ou-ou,2.34514E+76
pa-pa,3.64957E+76
pe-pe,4.72111E+76
pi-pi,6.97066E+76
po-po,8.21096E+76
pu-pu,4.0609E+76
qa-qa,1.13299E+77
qe-qe,7.84046E+76
qi-qi,5.12154E+76
qo-qo,4.58815E+76
qu-qu,6.53227E+76
ra-ra,1.4632E+76
re-re,4.95672E+76
ri-ri,1.04503E+77
ro-ro,4.24157E+75
ru-ru,8.65516E+76
sa-sa,8.61374E+76
se-se,5.55487E+76
si-si,2.41575E+76
so-so,8.40459E+76
su-su,1.18077E+76
ta-ta,9.29648E+75
te-te,8.65141E+76
ti-ti,2.92238E+76
to-to,9.22877E+76
tu-tu,1.52111E+76
ua-ua,1.47652E+75
ue-ue,4.09999E+76
ui-ui,7.74736E+76
uo-uo,9.97312E+76
uu-uu,6.69181E+75
va-va,2.98077E+76
ve-ve,2.98338E+76
vi-vi,2.95702E+76
vo-vo,1.41527E+76
vu-vu,7.76651E+76
wa-wa,1.08588E+77
we-we,4.09253E+76
wi-wi,7.7166E+75
wo-wo,9.382E+76
wu-wu,8.35693E+76
xa-xa,9.52082E+75
xe-xe,5.57613E+76
xi-xi,8.96389E+76
xo-xo,4.42244E+75
xu-xu,7.66527E+76
ya-ya,2.8646E+76
ye-ye,9.32903E+76
yi-yi,8.11181E+74
yo-yo,6.70441E+76
yu-yu,2.54097E+76
za-za,9.90276E+76
ze-ze,1.12229E+76
zi-zi,1.04408E+77
zo-zo,9.97485E+75
zu-zu,5.19085E+75
